Site,Error reason
Zalando.com,policy: too short — likely a consent wall or JS-gated
N26.com,"policy: page.goto: Download is starting
Call log:
[2m  - navigating to ""https://docs.n26.com/legal/06+EU/03+Privacy%20Policy/en/01privacy-policy-en.pdf"", waiting until"
BlaBlaCar.com,policy: too short — likely a consent wall or JS-gated
Disney+,policy: too short — likely a consent wall or JS-gated
Wise.com,policy: too short — likely a consent wall or JS-gated
Foodpanda,policy: too short — likely a consent wall or JS-gated
Expedia.com,policy: too short — likely a consent wall or JS-gated
Udemy.com,policy: too short — likely a consent wall or JS-gated
FutureLearn.com,policy: too short — likely a consent wall or JS-gated
Calm.com,policy: too short — likely a consent wall or JS-gated
Allegro.pl,policy: too short — likely a consent wall or JS-gated
H&M.com,"homepage: only 1 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero; policy: HTTP 403 — not fetched as policy text"
Zara.com,"homepage: only 1 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero; policy: page.goto: Download is starting
Call log:
[2m  - navigating to ""https://static.zara.net/static/pdfs/FR/privacy-policy/privacy-policy-en_FR-20250521.pdf"", waiti"
Sephora.com,"homepage: only 2 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero; policy: HTTP 403 — not fetched as policy text"
ASOS.com,"homepage: only 2 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero; policy: HTTP 403 — not fetched as policy text"
Douglas.de,"homepage: only 2 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero; policy: HTTP 403 — not fetched as policy text"
EasyJet.com,"homepage: only 2 request(s) after settle — page likely didn't render (bot detection or a blocking interstitial), not measured as a genuine zero"
