Third-party domain,% of sites,Owner
googletagmanager.com,40,Google/Alphabet
gstatic.com,28,Google/Alphabet
google.com,27,Google/Alphabet
cookielaw.org,24,OneTrust
onetrust.com,21,OneTrust
googlesyndication.com,16,Google/Alphabet
google-analytics.com,15,Google/Alphabet
googleapis.com,13,Google/Alphabet
cloudfront.net,12,Amazon
doubleclick.net,11,Google/Alphabet
sentry.io,11,Other
ctfassets.net,7,Other
cloudflareinsights.com,6,Other
amazon-adsystem.com,5,Amazon
amazonaws.com,5,Amazon
