Rank,Site,Domain,Measured,3rd parties,Cookies pre-consent,CMP,TCF,Reject-all,Policy words,Read min,GDPR overall,Lawful.,Purpose,Minim.,Accuracy,Storage,Integrity,Account.
1,Google.com,google.com,Yes,1,2,,No,Yes,14194,61.7,6.21,7.5,9.0,8.0,4.0,5.0,6.0,4.0
2,YouTube.com,youtube.com,Yes,4,5,,No,Yes,14194,61.7,6.0,6.5,6.0,6.0,5.5,6.0,6.5,5.5
3,Facebook.com,facebook.com,Yes,2,0,,No,No,16761,72.9,5.86,5.0,7.0,5.0,6.0,6.0,6.0,6.0
4,Instagram.com,instagram.com,Yes,2,1,,No,No,16812,73.1,6.71,8.0,7.0,6.0,5.0,6.0,8.0,7.0
5,WhatsApp.com,whatsapp.com,Yes,1,3,,No,No,4061,17.7,7.93,8.5,8.0,7.0,6.5,8.0,9.0,8.5
6,Netflix.com,netflix.com,Yes,7,7,OneTrust,No,No,9411,40.9,8.14,8.5,8.0,7.0,8.5,7.5,8.5,9.0
7,Amazon (EU domains),amazon.com,Yes,45,32,,No,No,3697,16.1,7.5,8.5,8.0,7.0,7.0,7.0,8.0,7.0
8,TikTok.com,tiktok.com,Yes,5,11,,No,No,7156,31.1,6.21,5.5,6.0,6.5,7.0,6.0,7.0,5.5
9,LinkedIn.com,linkedin.com,Yes,4,11,,No,No,6710,29.2,7.0,6.5,8.0,7.0,7.0,6.5,8.0,6.0
10,Spotify.com,spotify.com,Yes,8,4,OneTrust,Yes,Yes,3010,13.1,7.14,7.5,8.0,6.5,7.0,7.0,8.0,6.0
11,Zalando.com,zalando.com,Yes,7,0,Usercentrics,No,No,,,7.71,8.0,8.0,7.0,6.0,8.0,8.0,9.0
12,Booking.com,booking.com,Yes,7,10,OneTrust,No,No,10829,47.1,7.93,8.5,9.0,7.0,8.0,6.5,7.5,9.0
13,Revolut.com,revolut.com,Yes,2,4,,No,No,9035,39.3,7.93,8.5,8.0,7.5,7.0,8.0,8.5,8.0
14,Skyscanner.com,skyscanner.com,Yes,6,5,,No,No,47,0.2,7.14,7.0,7.5,6.5,8.0,7.0,8.0,6.0
15,BBC.com,bbc.com,Yes,9,17,Sourcepoint,Yes,No,127,0.6,7.93,9.0,8.5,8.0,6.5,7.5,7.0,9.0
16,Airbnb.com,airbnb.com,Yes,4,7,,No,Yes,200,0.9,6.93,7.0,6.5,7.5,6.0,6.0,8.0,7.5
17,Discord.com,discord.com,Yes,7,11,,No,No,5684,24.7,7.36,7.5,7.0,6.5,8.0,6.0,8.5,8.0
18,Twitch.tv,twitch.tv,Yes,6,7,,Yes,No,434,1.9,6.57,7.5,7.0,6.5,5.5,6.5,7.0,6.0
19,Steam,steampowered.com,Yes,1,4,,No,No,4751,20.7,7.43,8.0,8.0,7.0,6.0,6.0,8.0,9.0
20,Reddit.com,reddit.com,Yes,6,8,,No,No,8003,34.8,6.71,8.0,7.0,8.0,5.0,6.0,7.0,6.0
21,PayPal.com,paypal.com,Yes,5,12,,No,No,17726,77.1,,,,,,,,
22,Tinder.com,tinder.com,Yes,1,2,,No,No,5582,24.3,7.0,8.0,7.0,6.0,5.0,8.0,7.0,8.0
23,N26.com,n26.com,Yes,4,5,OneTrust,No,Yes,,,8.14,9.0,8.0,8.0,7.0,8.0,9.0,8.0
24,Uber.com,uber.com,Yes,3,12,,No,No,8466,36.8,8.86,9.0,9.0,8.0,8.0,9.0,9.0,10.0
25,H&M.com,hm.com,No (blocked),,,,,,,,8.29,9.0,9.0,8.0,7.0,8.0,8.0,9.0
26,Zara.com,zara.com,No (blocked),,,,,,,,6.71,8.0,7.0,6.0,5.0,6.0,7.0,8.0
27,Sephora.com,sephora.com,No (blocked),,,,,,,,7.79,8.0,8.5,7.0,7.5,7.0,8.0,8.5
28,Deliveroo.co.uk,deliveroo.co.uk,Yes,15,17,OneTrust,Yes,Yes,2725,11.8,7.93,8.0,9.0,7.0,8.0,8.0,9.0,6.5
29,Glovo.com,glovo.com,Yes,1,5,,No,No,15413,67,7.64,7.5,8.0,7.0,6.5,8.0,8.5,8.0
30,BlaBlaCar.com,blablacar.com,Yes,0,0,,No,No,,,7.29,9.0,9.0,8.0,5.0,9.0,5.0,6.0
31,Twitter/X.com,x.com,Yes,4,6,,No,No,5216,22.7,7.14,8.0,9.0,7.0,5.0,6.0,7.0,8.0
32,Snapchat.com,snapchat.com,Yes,2,6,,No,No,5530,24,7.29,8.0,7.0,6.0,7.0,8.0,8.0,7.0
33,Telegram.org,telegram.org,Yes,0,1,,No,No,5271,22.9,6.07,6.0,6.5,7.0,5.0,6.0,6.0,6.0
34,Signal.org,signal.org,Yes,0,0,,No,No,2073,9,8.14,8.0,7.0,10.0,8.0,8.0,10.0,6.0
35,ASOS.com,asos.com,No (blocked),,,,,,,,7.71,8.5,8.0,7.0,6.5,7.0,8.0,9.0
36,Shein.com,shein.com,Yes,2,6,,No,No,1510,6.6,7.21,8.0,8.0,6.5,7.0,7.0,8.0,6.0
37,About You,aboutyou.de,Yes,4,3,,No,No,11381,49.5,8.07,10.0,9.0,8.0,6.0,7.5,7.0,9.0
38,Vinted.com,vinted.com,Yes,5,15,OneTrust,Yes,No,596,2.6,7.21,7.5,8.0,6.0,7.0,6.5,7.5,8.0
39,Douglas.de,douglas.de,No (blocked),,,,,,,,7.0,7.5,7.0,6.0,7.0,6.0,7.0,8.5
40,Notino.com,notino.com,Yes,2,2,,No,No,123,0.5,7.71,8.0,9.0,7.0,6.0,9.0,8.0,7.0
41,eBay (EU domains),ebay.fr,Yes,5,24,,No,Yes,3215,14,,,,,,,,
42,Epic Games Store,epicgames.com,Yes,4,9,OneTrust,No,No,7287,31.7,7.64,8.0,8.0,7.0,6.5,6.0,9.0,9.0
43,PlayStation Store,playstation.com,Yes,8,11,OneTrust,No,Yes,5855,25.5,6.79,7.5,7.0,6.0,6.5,6.0,7.0,7.5
44,Xbox.com,xbox.com,Yes,8,13,,No,No,2451,10.7,8.07,9.0,8.0,7.5,7.0,7.0,9.0,9.0
45,Nintendo.com,nintendo.com,Yes,4,4,OneTrust,No,No,2234,9.7,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0
46,Amazon Prime Video,amazon.com,Yes,42,36,,No,No,3697,16.1,7.5,8.5,8.0,7.0,7.0,7.0,8.0,7.0
